hotel_names,location,price,score_hotels,number_rating,star_number,received_time,giveback_time,description,hotel_link,id
Mia Casa By Satori,"Trong khu vực
Xem bản đồ
26 Nam Ngư, Cửa  Nam, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
415 m
Nhà thờ Lớn Hà Nội
688 m
Hồ Hoàn Kiếm
1.02 km
Namaste Hanoi
273 m
Ga Hà Nội
294 m
Chùa Quán Sứ
362 m
Phố Đường Tàu Hà Nội
415 m",738064,"8,9",29,3,No value,No value,"Lưu ý: khách sạn trước đây mang tên Mia Casa by Satori Lưu trú tại Mia Casa By Satori là một lựa chọn đúng đắn khi quý khách đến thăm Cửa Nam. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000788423.Mia%20Casa%20By%20Satori.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=7dd71180-9e16-4b51-b4ec-d0f465654128,11
Le Grand Hanoi hotel – The Sun,"Trong khu vực
Xem bản đồ
134 Nguyễn Hy Quang , Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt Nam, 100000
Xung quanh tiện ích công cộng
Phố Đường Tàu Hà Nội
2.14 km
Nhà thờ Lớn Hà Nội
2.49 km
Hồ Hoàn Kiếm
2.81 km
Đường La Thành
241 m
Sân bóng đá Hoàng Cầu
280 m
Xèo Xèo Buffet Nướng BBQ
364 m
Ngon Restaurant
377 m",552558,"8,5",60,3,No value,No value,"Lưu trú tại Le Grand Hanoi hotel – The Sun là một lựa chọn đúng đắn khi quý khách đến thăm Ô Chợ Dừa. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.3000010029914.Le%20Grand%20Hanoi%20hotel%20%E2%80%93%20The%20Sun.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=81b89422-81b3-4e34-872f-bb1936c23066,12
Dolce by Wyndham Hanoi Golden Lake,"Trong khu vực
Xem bản đồ
B7 Giang Vo, Giảng Võ, Quận Ba Đình, Hà Nội, Việt Nam
Gần khu vui chơi giải trí
Lăng Chủ tịch Hồ Chí Minh
1.63 km
Phố Đường Tàu Hà Nội
2.38 km
Nhà thờ Lớn Hà Nội
2.88 km
Khách sạn Lake Side Hotel
374 m
Nhà ga Cát Linh
651 m
Vincom Center Metropolis
665 m
Capital Place
792 m",2766613,"8,9",171,5,No value,No value,"Dolce by Wyndham Hanoi Golden Lake toạ lạc tại khu vực / thành phố Giảng Võ. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000924741.Dolce%20by%20Wyndham%20Hanoi%20Golden%20Lake.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=481827b3-1d23-49e6-90e6-94c7dc46906b,13
Khách sạn Muong Thanh Grand Hà Nội,"Trong khu vực
Xem bản đồ
Unit CC2, Bac Linh Dam, Dai Kim, Quận Hoàng Mai, Hà Nội, Việt Nam
Gần khu vui chơi giải trí
Trường Đại học Thăng Long
1.51 km
TT Vận Tải Đường Sắt Bắc Nam
2.49 km
Bệnh viện Đại học Y Dược - Cơ sở Linh Đàm
683 m
Trường Đại học Thăng Long
1.51 km
Tu Ky Pagoda
1.95 km
TT Vận Tải Đường Sắt Bắc Nam
2.49 km
Khu nhà ở sinh viên Pháp Vân - Tứ Hiệp
2.73 km",1158525,"8,5",94,4,No value,No value,"Muong Thanh Grand Hanoi Hotel toạ lạc tại khu vực / thành phố Quận Hoàng Mai. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000447899.Kh%C3%A1ch%20s%E1%BA%A1n%20Muong%20Thanh%20Grand%20H%C3%A0%20N%E1%BB%99i.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=54c1f65f-af97-4cb0-bd23-ffa59b9b71a2,14
Hanoi Brilliant Hotel and Spa,"Trong khu vực
Xem bản đồ
44 Hàng Trống, Hoàn Kiếm, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Nhà thờ Lớn Hà Nội
211 m
Hồ Hoàn Kiếm
346 m
Phố Đường Tàu Hà Nội
565 m
Phố Hàng Gai
159 m
Nhà thờ Hà Nội
192 m
Bệnh viện Việt Đức
210 m
Nhà thờ Lớn Hà Nội
211 m",1297817,"9,2",717,4,No value,No value,"Lưu trú tại Hanoi Brilliant Hotel and Spa là một lựa chọn đúng đắn khi quý khách đến thăm Phường Hàng Trống. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000448912.Hanoi%20Brilliant%20Hotel%20and%20Spa.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=9ea44e4e-3b7b-4a37-b3fc-21f43e90d01c,15
Khách sạn Thang Long Opera,"Trong khu vực
Xem bản đồ
1C Tong Dan, Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
Khu mua sắm
Hồ Hoàn Kiếm
527 m
Nhà thờ Lớn Hà Nội
873 m
Phố Đường Tàu Hà Nội
1.38 km
Vườn hoa Lý Thái Tổ
274 m
Tượng Đài Vua Lý Thái Tổ
309 m
Bảo tàng Cách mạng Việt Nam
372 m
The Gourmet Corner Restaurant
416 m",1873128,"8,6",151,4,No value,No value,"Thang Long Opera Hotel là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Lý Thái Tổ. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.3000010028122.Kh%C3%A1ch%20s%E1%BA%A1n%20Thang%20Long%20Opera.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=c9f61750-d0e3-4f44-8cc7-b9ee396d1b52,16
Madelise Palace Hotel & Spa,"Trong khu vực
Xem bản đồ
116-118 Hang Buom, Hàng Buồm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
Khu mua sắm
Hồ Hoàn Kiếm
782 m
Nhà thờ Lớn Hà Nội
804 m
Phố Đường Tàu Hà Nội
951 m
Đền Bạch Mã
27 m
King Pirates Pub
32 m
Funky Buddha Bar
104 m
Phố Cổ
176 m",767683,"8,5",50,4,No value,No value,"Lưu trú tại Madelise Palace Hotel & Spa là một lựa chọn đúng đắn khi quý khách đến thăm Hàng Buồm. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001107635.Madelise%20Palace%20Hotel%20%26%20Spa.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=a37453fb-d850-49eb-bb15-5254cb5fd857,17
Grand K Hotel Suites Hanoi,"Trong khu vực
Xem bản đồ
Số 2 Phạm Văn Bạch, Yên Hòa, Quận Cầu Giấy, Hà Nội, Việt Nam, 100000
Gần khu vui chơi giải trí
Chùa Láng
1.28 km
Bến Xe Mỹ Đình
1.66 km
Big C Thăng Long
1.77 km
Kiểm Toán Nhà Nước Việt Nam
810 m
Keangnam Landmark Tower 72
881 m
Don Chicken
1.03 km
Sân Bóng Ngọc Bảo
1.12 km",1752641,"8,8",113,5,No value,No value,"Grand K Hotel Suites Hanoi là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Yên Hòa. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001129243.Grand%20K%20Hotel%20Suites%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=9268e5cc-0f79-4327-a441-2f95d2f66847,18
REY Hotel Hanoi,"Trong khu vực
Xem bản đồ
14 P. Lý Nam Đế, Quán Thánh, Hoàn Kiếm, Hàng Mã, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Phố Đường Tàu Hà Nội
691 m
Nhà thờ Lớn Hà Nội
923 m
Hồ Hoàn Kiếm
1.11 km
Masjid Al Noor Hanoi
328 m
Cộng Cà Phê
426 m
Điện Kính Thiên
486 m
Chợ Đồng Xuân
521 m",2207792,"9,4",75,4,No value,No value,"Lưu trú tại REY Hotel Hanoi là một lựa chọn đúng đắn khi quý khách đến thăm Hàng Mã. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000003249593.REY%20Hotel%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=bc97de13-f8f5-4a19-bd9b-1b471fcd1f65,19
Dusit Le Palais Từ Hoa Hà Nội,"Trong khu vực
Xem bản đồ
Ngõ 431 Âu Cơ, P.Nhật Tân, Q.Tây Hồ, Nhật Tân, Tây Hồ, Hà Nội, Việt Nam, 124066
Bệnh Viện Tim Hà Nội - Cơ Sở 2
1.62 km
Hồ Tây
2.79 km
Thung lũng hoa hồ Tây
340 m
Công viên nước Hồ Tây
587 m
Nhà Hàng Sen Tây Hồ
606 m
Vườn hoa Cúc Họa mi
745 m
United Nations International School of Hanoi
1.01 km",4953696,"9,2",2,4,No value,No value,"Lưu trú tại Dusit Le Palais Tu Hoa Hanoi là một lựa chọn đúng đắn khi quý khách đến thăm Nhật Tân. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000006125000.Dusit%20Le%20Palais%20T%E1%BB%AB%20Hoa%20H%C3%A0%20N%E1%BB%99i.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=38b98d5f-1ee1-4c6c-b8c8-9658dcd69941,20
Epic Tower Swiss-Belresidences Hanoi,"Trong khu vực
Xem bản đồ
19 Duy Tân, Mỹ Đình 2, Nam Từ Liêm, Hà Nội, Việt Nam, 11300
Xung quanh tiện ích công cộng
Bến Xe Mỹ Đình
638 m
Chùa Láng
2.29 km
Big C Thăng Long
2.72 km
Bệnh Viện 19 - 8 Bộ Công An
502 m
Bến Xe Mỹ Đình
638 m
National University
717 m
Đại học Quốc gia Hà Nội
819 m",1730192,"9,1",14,5,No value,No value,"Epic Tower Swiss-Belresidences Hanoi toạ lạc tại khu vực / thành phố Mỹ Đình 2. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000003340290.Epic%20Tower%20Swiss-Belresidences%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=6487a4db-2e48-4337-b88a-8271efebbbd3,21
